rank,State,Pop,density
1,California,39937489,256.3727
2,Texas,29472295,112.8204
3,Florida,21992985,410.1256
4,New York,19440469,412.5211
5,Pennsylvania,12820878,286.5449
6,Illinois,12659682,228.0243
7,Ohio,11747694,287.5038
8,Georgia,10736059,186.6719
9,North Carolina,10611862,218.2702
10,Michigan,10045029,177.6655
11,New Jersey,8936574,1215.1991
12,Virginia,8626207,218.4403
13,Washington,7797095,117.3272
14,Arizona,7378494,64.955
15,Massachusetts,6976597,894.4355
16,Tennessee,6897576,167.2748
17,Indiana,6745354,188.281
18,Missouri,6169270,89.7453
19,Maryland,6083116,626.6731
20,Wisconsin,5851754,108.0497
21,Colorado,5845526,56.4011
22,Minnesota,5700671,71.5922
23,South Carolina,5210095,173.3174
24,Alabama,4908621,96.9221
25,Louisiana,4645184,107.5175
26,Kentucky,4499692,113.9566
27,Oregon,4301089,44.8086
28,Oklahoma,3954821,57.6547
29,Connecticut,3563077,735.8689
30,Utah,3282115,39.943
31,Iowa,3179849,56.9284
32,Nevada,3139658,28.5993
33,Arkansas,3038999,58.403
34,Puerto Rico,3032165,876.6016
35,Mississippi,2989260,63.7056
36,Kansas,2910357,35.5968
37,New Mexico,2096640,17.285
38,Nebraska,1952570,25.4161
39,Idaho,1826156,22.0969
40,West Virginia,1778070,73.9691
41,Hawaii,1412687,219.9419
42,New Hampshire,1371246,153.1605
43,Maine,1345790,43.6336
44,Montana,1086759,7.4668
45,Rhode Island,1056161,1021.4323
46,Delaware,982895,504.3073
47,South Dakota,903027,11.9116
48,North Dakota,761723,11.0393
49,Alaska,734002,1.2863
50,District of Columbia,720687,11814.541
51,Vermont,628061,68.1416
52,Wyoming,567025,5.84
53,Guam,168775,830
54,Virgin Islands,104425,773
55,Northern Mariana Islands,55144,292.7
56,American Samoa,55465,670.8
